"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable perCapita DCID","Variable perCapita observation date","Variable perCapita observation metadata importName","Variable perCapita observation metadata provenanceUrl","Variable perCapita observation metadata scalingFactor","Variable perCapita observation metadata unit","Variable perCapita observation metadata unitDisplayName","Variable perCapita observation value","Variable perCapita perCapitaValue","Variable perCapita properties name","Variable properties name"
"geoId/01001","","Autauga County","RetailDrugDistribution_DrugDistribution_Oxycodone","2017-10","DEA_ARCOS","https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/","","Grams","g",1437.85,"Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",55533,0.025891812075702732,"Total Population","Amount of Oxycodone Distributed Through Retail Drug Channels"
"geoId/01003","","Baldwin County","RetailDrugDistribution_DrugDistribution_Oxycodone","2017-10","DEA_ARCOS","https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/","","Grams","g",8522.36,"Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",218071,0.03908066638846981,"Total Population","Amount of Oxycodone Distributed Through Retail Drug Channels"
"geoId/01005","","Barbour County","RetailDrugDistribution_DrugDistribution_Oxycodone","2017-10","DEA_ARCOS","https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/","","Grams","g",736.24,"Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",24887,0.029583316590991282,"Total Population","Amount of Oxycodone Distributed Through Retail Drug Channels"
"geoId/01007","","Bibb County","RetailDrugDistribution_DrugDistribution_Oxycodone","2017-10","DEA_ARCOS","https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/","","Grams","g",1201.24,"Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",22300,0.05386726457399103,"Total Population","Amount of Oxycodone Distributed Through Retail Drug Channels"
"geoId/01009","","Blount County","RetailDrugDistribution_DrugDistribution_Oxycodone","2017-10","DEA_ARCOS","https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/","","Grams","g",3076.92,"Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",57770,0.05326155444002077,"Total Population","Amount of Oxycodone Distributed Through Retail Drug Channels"
"geoId/01011","","Bullock County","RetailDrugDistribution_DrugDistribution_Oxycodone","2017-10","DEA_ARCOS","https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/","","Grams","g",289.09,"Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",10165,0.02843974422036399,"Total Population","Amount of Oxycodone Distributed Through Retail Drug Channels"
"geoId/01013","","Butler County","RetailDrugDistribution_DrugDistribution_Oxycodone","2017-10","DEA_ARCOS","https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/","","Grams","g",579.48,"Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",19675,0.029452604828462518,"Total Population","Amount of Oxycodone Distributed Through Retail Drug Channels"
"geoId/01015","","Calhoun County","RetailDrugDistribution_DrugDistribution_Oxycodone","2017-10","DEA_ARCOS","https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/","","Grams","g",6199.41,"Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",114298,0.05423900680676827,"Total Population","Amount of Oxycodone Distributed Through Retail Drug Channels"
"geoId/01017","","Chambers County","RetailDrugDistribution_DrugDistribution_Oxycodone","2017-10","DEA_ARCOS","https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/","","Grams","g",862.85,"Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",33570,0.025703008638665474,"Total Population","Amount of Oxycodone Distributed Through Retail Drug Channels"
"geoId/01019","","Cherokee County","RetailDrugDistribution_DrugDistribution_Oxycodone","2017-10","DEA_ARCOS","https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/","","Grams","g",1723.58,"Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",26035,0.06620241981947378,"Total Population","Amount of Oxycodone Distributed Through Retail Drug Channels"
"geoId/01021","","Chilton County","RetailDrugDistribution_DrugDistribution_Oxycodone","2017-10","DEA_ARCOS","https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/","","Grams","g",2223.05,"Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",44084,0.05042759277742492,"Total Population","Amount of Oxycodone Distributed Through Retail Drug Channels"
"geoId/01023","","Choctaw County","RetailDrugDistribution_DrugDistribution_Oxycodone","2017-10","DEA_ARCOS","https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/","","Grams","g",487.04,"Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",12810,0.038020296643247464,"Total Population","Amount of Oxycodone Distributed Through Retail Drug Channels"
"geoId/01025","","Clarke County","RetailDrugDistribution_DrugDistribution_Oxycodone","2017-10","DEA_ARCOS","https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/","","Grams","g",1016.4,"Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",23965,0.04241185061548091,"Total Population","Amount of Oxycodone Distributed Through Retail Drug Channels"
"geoId/01027","","Clay County","RetailDrugDistribution_DrugDistribution_Oxycodone","2017-10","DEA_ARCOS","https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/","","Grams","g",732.65,"Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",13301,0.05508232463724532,"Total Population","Amount of Oxycodone Distributed Through Retail Drug Channels"
"geoId/01029","","Cleburne County","RetailDrugDistribution_DrugDistribution_Oxycodone","2017-10","DEA_ARCOS","https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/","","Grams","g",781.03,"Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",15047,0.051906027779623845,"Total Population","Amount of Oxycodone Distributed Through Retail Drug Channels"
"geoId/01031","","Coffee County","RetailDrugDistribution_DrugDistribution_Oxycodone","2017-10","DEA_ARCOS","https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/","","Grams","g",1915.54,"Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",52097,0.03676871988790142,"Total Population","Amount of Oxycodone Distributed Through Retail Drug Channels"
